stop_id,stop_name,stop_lat,stop_lon
13503,Çatalca Seralar,38.255033333333,27.07254
13505,Çatalca,38.257123333333,27.070021666667
13517,Çatalca Meydan,38.260235,27.069491
16212,Çatalca Köşe,38.2609192123469,27.0682894838864
13507,Çatalca Köprü,38.26011,27.067181
16255,Segen Göleti,38.2569662232773,27.053202496577
16635,Çatal,38.2552842228722,27.0509514919373
16253,Çatalca Üzüm,38.2537102226769,27.0487944874934
16540,Çatalca Manzara,38.2633712649611,27.0298575932805
16538,Çatalca Çiftlik,38.2695912950541,27.0113336830596
16461,Çukur,38.2636653024287,26.9994776828841
13509,Tırazlı Yol Ayrımı,38.267925,26.992668333333
16258,Efemçukuru Yolu,38.2772983337712,26.9802138299909
21026,Yoldaş,38.5180077448223,27.0655061110688
21024,Çiğli İzkent,38.5174,27.0667
21022,Tepe,38.5152,27.0663
21020,İzkent Üçyol,38.5134953655819,27.0651402875309
21004,İzkent Meydan,38.5108683599946,27.0645729569989
21002,İzkent Çay Bahçesi,38.5091043640268,27.0646756970533
21000,Egekent Cami,38.5078,27.0632
20998,Egekent Park,38.5052,27.0614
20996,Eshotçular Sitesi,38.5054,27.0598
20994,Adliyeciler Sitesi,38.5072,27.0585
20992,Egekent Trafo,38.5064,27.0571
20990,Turan Çakın İlkokulu,38.5040847383114,27.0584658708978
20988,Egekent Postane,38.5024,27.0602
20986,Akiş Öğütçü İlköğretim Okulu,38.501400464692,27.0630004499331
20968,Ormancı Sitesi,38.501,27.0645
20978,Büyük Çiğli Anadolu Lisesi,38.4983004639842,27.0625004674178
20966,Egekent Dispanser,38.4969,27.0609
31486,Şehit Erkan Er Ortaokulu,38.46526102438,27.2517499282702
32140,4. Sanayi Güven,38.464647,27.254522
32141,4. Sanayi Trafo,38.462601,27.254124
32142,Şavkar Spor Tesisleri,38.461644,27.256443
32143,4. Sanayi Ege,38.460776,27.253864
30354,Park,38.4584509432209,27.2473534025194
30338,Atölye,38.459,27.2441
30336,Bölge Trafik,38.4598,27.2398
30334,Osman Kibar Kavşağı,38.4622,27.228
31281,Suphi Koyuncu,38.4624,27.2249
31276,Büyük Park,38.4618998634737,27.2175838567597
31272,Mahfel,38.46019,27.21619
30010,Bornova Metro,38.4585822207225,27.214346611206
31271,Mahfel,38.46011,27.21628
30333,Osman Kibar Kavşağı,38.4613,27.2296
30335,Bölge Trafik,38.459429478038,27.2396722516228
30337,Atölye,38.4588,27.2434
30339,Park,38.4582,27.2468
32144,4. Sanayi Ege,38.460519,27.254391
32145,Şavkar Spor Tesisleri,38.461417,27.256765
32146,4. Sanayi Trafo,38.462805,27.254348
32147,4. Sanayi Güven,38.464849,27.254197
14602,Fuar İzmir,38.3476188011591,27.1229259585871
12736,Şehit Süleyman Ergin,38.3506,27.1274
12724,Peker Mahallesi Eski Son Durak,38.3517,27.1288
12722,Aktepe Polis Lojmanları,38.35309,27.131188
13338,Aktepe Giriş,38.352,27.1323
10656,Aktepe,38.3526,27.134
10654,Gaziemir Semt Garajı,38.3573027382889,27.1356215135284
10652,Sinem,38.3603,27.1371
10642,Karabağlar,38.3641114523702,27.1375615024853
10640,Paşa Köprüsü,38.3677794606275,27.1366665021718
10638,Kızılcık,38.369984,27.136067
10636,Söğüt,38.3718,27.1356
10634,Karabağlar Cumhuriyet Anadolu Lisesi,38.3762504791536,27.1350874979837
10632,Kaymakkuyu,38.3801914880761,27.1350074927496
10630,Çitlenbik,38.3839,27.1351
10628,Orcaner,38.386986,27.134977
10323,Montrö,38.4286006196084,27.1417003806003
10322,Kent Müzesi,38.4262805864553,27.1395457199318
10126,Borsa,38.4245,27.1346
10102,İskele,38.4199,27.1279
15604,Tünel İşletme Şefliği,38.399032041911,27.1391648856134
11859,Buca Köprüsü,38.3946805201416,27.1354204655278
10625,Hasan Hüseyinler,38.392116,27.134438
10629,Orcaner,38.3868595021323,27.1344244842392
10631,Çitlenbik,38.38229,27.134537
10633,Kaymakkuyu,38.37826,27.134584
10635,Karabağlar Cumhuriyet Anadolu Lisesi,38.3733374720569,27.1347935027423
10637,Kızılcık,38.3701,27.1356
10639,Paşa Köprüsü,38.367506,27.136315
10641,Karabağlar,38.3641584520837,27.1371085040153
10651,Sinem,38.3596,27.1363
10653,Gaziemir Semt Garajı,38.3570434322381,27.1347895169081
10655,Emrez,38.3555,27.134
10657,Aktepe,38.3518,27.1334
13339,Aktepe Giriş,38.3522,27.1324
12725,Aktepe Polis Lojmanları,38.3529,27.1306
12727,Peker Mahallesi Eski Son Durak,38.3518,27.1288
12737,Şehit Süleyman Ergin,38.3505,27.1272
14603,Aktepe Meşe,38.35,27.1243
14601,Fuar İzmir,38.3477,27.1222
11399,Torbalı Sanayi,38.1844,27.3541
11411,Torbalı Sanayi Çıkışı,38.1874,27.3564
11671,Evliya Çelebi,38.1891472454471,27.3579715991785
11401,Opel,38.1917,27.36
11403,Tütün Fabrikası,38.192987,27.361173
11405,Mimteks,38.200288,27.365392
11407,İl Özel İdare Asfalt Şantiye,38.2055,27.3666
11409,Ortaköy,38.2124,27.3684
11397,Ortaköy Kavşak,38.2146,27.3695
11413,Çamlıca Kavşağı,38.2157,27.3757
11415,Zümrüt,38.217514,27.376197
11419,Punteks,38.220331,27.377177
11421,Palmiye,38.2253,27.3782
11423,Verde,38.22948,27.378951
11563,Karakuyu Birlik Sitesi,38.23123,27.37958
11425,Kocatepe Zeytinlik,38.235,27.3816
11427,Karakuyu Mezarlık,38.2377997116731,27.3824002908272
11429,Karakuyu Spor Tesisleri,38.2414,27.384
50292,Demet,38.3895,26.9973
50289,Beyaz Durak,38.3907,26.9977
50288,Tuna,38.3913,26.9987
