route_id,service_id,trip_id,direction_id,wheelchair_accessible,bikes_allowed,shape_id
7,3229,1258893191,0,1,1,17
7,3229,1258893201,0,1,1,17
7,3229,1258893211,0,1,1,17
7,3229,1258893221,0,1,1,17
7,3229,1258893231,0,1,1,17
7,3229,1258893241,0,1,1,17
7,3229,1258893251,0,1,1,17
7,3229,1258893261,0,1,1,17
7,3229,1258893271,0,1,1,17
7,3229,1258893281,0,1,1,17
7,3229,1258893291,0,1,1,17
7,3229,1258893301,0,1,1,17
7,3229,1258893311,0,1,1,17
7,3229,1258893321,0,1,1,17
7,3229,1258893012,1,1,1,27
7,3229,1258893022,1,1,1,27
7,3229,1258893032,1,1,1,27
7,3229,1258893042,1,1,1,27
7,3229,1258893052,1,1,1,27
7,3229,1258893062,1,1,1,27
7,3229,1258893072,1,1,1,27
7,3229,1258893082,1,1,1,27
7,3229,1258893092,1,1,1,27
7,3229,1258893102,1,1,1,27
7,3229,1258893112,1,1,1,27
7,3229,1258893122,1,1,1,27
7,3229,1258893132,1,1,1,27
7,3229,1258893142,1,1,1,27
7,3229,1258893152,1,1,1,27
7,3229,1258893162,1,1,1,27
7,3229,1258893172,1,1,1,27
7,3229,1258893182,1,1,1,27
7,3229,1258893192,1,1,1,27
7,3229,1258893202,1,1,1,27
7,3229,1258893212,1,1,1,27
7,3229,1258893222,1,1,1,27
7,3229,1258893232,1,1,1,27
7,3229,1258893242,1,1,1,27
7,3229,1258893252,1,1,1,27
7,3229,1258893262,1,1,1,27
7,3229,1258893272,1,1,1,27
7,3229,1258893282,1,1,1,27
7,3229,1258893292,1,1,1,27
7,3229,1258893302,1,1,1,27
7,3229,1258893312,1,1,1,27
7,3229,1258893322,1,1,1,27
8,3229,1258056201,0,1,0,18
8,3229,1258056211,0,1,0,18
8,3229,1258056221,0,1,0,18
8,3229,1258056231,0,1,0,18
8,3229,1258056241,0,1,0,18
8,3229,1258056251,0,1,0,18
8,3229,1258056261,0,1,0,18
8,3229,1258056271,0,1,0,18
8,3229,1258056281,0,1,0,18
8,3229,1258056291,0,1,0,18
8,3229,1258056301,0,1,0,18
8,3229,1258056311,0,1,0,18
8,3229,1258056321,0,1,0,18
8,3229,1258056331,0,1,0,18
8,3229,1258056341,0,1,0,18
8,3229,1258056361,0,1,0,18
8,3229,1258056371,0,1,0,18
8,3229,1258056381,0,1,0,18
8,3229,1258056391,0,1,0,18
8,3229,1258056401,0,1,0,18
8,3229,1258056411,0,1,0,18
8,3229,1258056421,0,1,0,18
8,3229,1258056431,0,1,0,18
8,3229,1258056451,0,1,0,18
8,3229,1258056461,0,1,0,18
8,3229,1258056471,0,1,0,18
8,3229,1258056481,0,1,0,18
8,3229,1258056491,0,1,0,18
8,3229,1258056501,0,1,0,18
8,3229,1258056511,0,1,0,18
8,3229,1258056521,0,1,0,18
8,3229,1258056531,0,1,0,18
8,3229,1258056541,0,1,0,18
8,3229,1258056551,0,1,0,18
8,3229,1258056561,0,1,0,18
8,3229,1258056571,0,1,0,18
8,3229,1258056581,0,1,0,18
8,3229,1258056591,0,1,0,18
8,3229,1258056601,0,1,0,18
8,3229,1258056611,0,1,0,18
8,3229,1258056631,0,1,0,18
8,3229,1258056641,0,1,0,18
8,3229,1258056651,0,1,0,18
8,3229,1258056661,0,1,0,18
8,3229,1258056671,0,1,0,18
8,3229,1258056681,0,1,0,18
8,3229,1258056691,0,1,0,18
8,3229,1258056701,0,1,0,18
8,3229,1258056711,0,1,0,18
8,3229,1258056721,0,1,0,18
8,3229,1258056731,0,1,0,18
8,3229,1258056741,0,1,0,18
8,3229,1258056202,1,1,0,28
8,3229,1258056212,1,1,0,28
8,3229,1258056222,1,1,0,28
8,3229,1258056232,1,1,0,28
8,3229,1258056242,1,1,0,28
8,3229,1258056252,1,1,0,28
8,3229,1258056262,1,1,0,28
8,3229,1258056272,1,1,0,28
8,3229,1258056282,1,1,0,28
8,3229,1258056292,1,1,0,28
8,3229,1258056302,1,1,0,28
8,3229,1258056312,1,1,0,28
8,3229,1258056322,1,1,0,28
8,3229,1258056332,1,1,0,28
8,3229,1258056352,1,1,0,28
8,3229,1258056362,1,1,0,28
8,3229,1258056372,1,1,0,28
8,3229,1258056382,1,1,0,28
8,3229,1258056392,1,1,0,28
8,3229,1258056402,1,1,0,28
8,3229,1258056412,1,1,0,28
8,3229,1258056422,1,1,0,28
8,3229,1258056432,1,1,0,28
8,3229,1258056442,1,1,0,28
8,3229,1258056452,1,1,0,28
8,3229,1258056462,1,1,0,28
8,3229,1258056472,1,1,0,28
8,3229,1258056482,1,1,0,28
8,3229,1258056492,1,1,0,28
8,3229,1258056502,1,1,0,28
8,3229,1258056512,1,1,0,28
8,3229,1258056522,1,1,0,28
8,3229,1258056542,1,1,0,28
8,3229,1258056552,1,1,0,28
8,3229,1258056562,1,1,0,28
8,3229,1258056572,1,1,0,28
8,3229,1258056582,1,1,0,28
8,3229,1258056592,1,1,0,28
8,3229,1258056602,1,1,0,28
8,3229,1258056612,1,1,0,28
8,3229,1258056622,1,1,0,28
8,3229,1258056632,1,1,0,28
8,3229,1258056642,1,1,0,28
8,3229,1258056652,1,1,0,28
8,3229,1258056662,1,1,0,28
8,3229,1258056672,1,1,0,28
8,3229,1258056682,1,1,0,28
8,3229,1258056692,1,1,0,28
8,3229,1258056712,1,1,0,28
8,3229,1258056722,1,1,0,28
8,3229,1258056732,1,1,0,28
8,3229,1258056742,1,1,0,28
9,3229,1258145921,0,1,0,19
9,3229,1258145931,0,1,0,19
9,3229,1258145941,0,1,0,19
9,3229,1258145951,0,1,0,19
9,3229,1258145961,0,1,0,19
9,3229,1258145971,0,1,0,19
9,3229,1258145981,0,1,0,19
9,3229,1258146011,0,1,0,19
9,3229,1258145922,1,1,0,29
9,3229,1258145932,1,1,0,29
9,3229,1258145942,1,1,0,29
9,3229,1258145952,1,1,0,29
9,3229,1258145962,1,1,0,29
9,3229,1258145972,1,1,0,29
9,3229,1258146012,1,1,0,29
10,3229,1258110561,0,1,1,110
10,3229,1258110601,0,1,1,110
10,3229,1258110611,0,1,1,110
10,3229,1258110621,0,1,1,110
10,3229,1258110631,0,1,1,110
10,3229,1258110641,0,1,1,110
10,3229,1258110651,0,1,1,110
10,3229,1258110661,0,1,1,110
10,3229,1258110671,0,1,1,110
10,3229,1258110681,0,1,1,110
10,3229,1258110691,0,1,1,110
10,3229,1258110701,0,1,1,110
10,3229,1258110711,0,1,1,110
10,3229,1258110721,0,1,1,110
10,3229,1258120231,0,1,1,110
10,3229,1258120241,0,1,1,110
10,3229,1258120251,0,1,1,110
10,3229,1258120261,0,1,1,110
10,3229,1258120271,0,1,1,110
10,3229,1258120281,0,1,1,110
